Time,rotX,rotY,rotZ,DT,Hour
1582687237834.0,0.002572774887084961,0.00673869252204895,-0.0021598469465970993,2020-02-25 21:20:37.834000-06:00,2020-02-25 21:00
1582687237884.0,0.006814688444137573,0.0044851042330265045,-0.0002028942108154297,2020-02-25 21:20:37.884000-06:00,2020-02-25 21:00
1582687237934.0,0.002011716365814209,0.0064382404088974,0.00361652672290802,2020-02-25 21:20:37.934000-06:00,2020-02-25 21:00
1582687237984.0,-0.002469569444656372,0.006208896636962891,0.001996338367462158,2020-02-25 21:20:37.984000-06:00,2020-02-25 21:00
1582687238034.0,0.0003508329391479492,0.0033991336822509766,0.0003456622362136841,2020-02-25 21:20:38.034000-06:00,2020-02-25 21:00
1582687238084.0,-0.003319382667541504,0.003731966018676758,0.003095090389251709,2020-02-25 21:20:38.084000-06:00,2020-02-25 21:00
1582687238134.0,-0.00307619571685791,0.0055951885879039764,0.001632004976272583,2020-02-25 21:20:38.134000-06:00,2020-02-25 21:00
1582687238184.0,0.0019081681966781616,0.006791748106479645,-0.001215234398841858,2020-02-25 21:20:38.184000-06:00,2020-02-25 21:00
1582687238234.0,0.0002222806215286255,0.007817106321454048,-0.0007978305220603943,2020-02-25 21:20:38.234000-06:00,2020-02-25 21:00
1582687238284.0,0.0012720227241516113,0.0034908056259155273,0.0004218257963657379,2020-02-25 21:20:38.284000-06:00,2020-02-25 21:00
1582687238334.0,0.00699731707572937,0.0011461973190307617,-0.0006471425294876099,2020-02-25 21:20:38.334000-06:00,2020-02-25 21:00
1582687238384.0,0.006039798259735107,0.00488707423210144,-0.0007827132940292358,2020-02-25 21:20:38.384000-06:00,2020-02-25 21:00
1582687238434.0,0.0029893070459365845,0.0041692256927490234,-0.0035645663738250732,2020-02-25 21:20:38.434000-06:00,2020-02-25 21:00
1582687238484.0,0.005273185670375824,-0.0020572245121002197,-0.006097733974456787,2020-02-25 21:20:38.484000-06:00,2020-02-25 21:00
1582687238534.0,0.00526108592748642,-0.0041852593421936035,6.705522537231445e-05,2020-02-25 21:20:38.534000-06:00,2020-02-25 21:00
1582687238584.0,0.0016803145408630371,-0.0023816749453544617,0.002821877598762512,2020-02-25 21:20:38.584000-06:00,2020-02-25 21:00
1582687238634.0,0.0009089857339859009,-0.0020583129953593016,-0.0001249164342880249,2020-02-25 21:20:38.634000-06:00,2020-02-25 21:00
1582687238684.0,0.0013238340616226196,-0.0015870295464992523,-0.0007566213607788086,2020-02-25 21:20:38.684000-06:00,2020-02-25 21:00
1582687238734.0,0.0018135905265808105,0.00017951428890228271,0.0008130893111228943,2020-02-25 21:20:38.734000-06:00,2020-02-25 21:00
1582687238784.0,0.003461252897977829,0.0012909900397062302,0.00033436715602874756,2020-02-25 21:20:38.784000-06:00,2020-02-25 21:00
1582687238834.0,0.0011331737041473389,0.002365410327911377,-0.0011556672398000956,2020-02-25 21:20:38.834000-06:00,2020-02-25 21:00
1582687238884.0,0.0006475448608398438,0.0023540854454040527,0.00030963122844696045,2020-02-25 21:20:38.884000-06:00,2020-02-25 21:00
1582687238934.0,0.004203587770462036,-0.0007407665252685547,0.0017900019884109497,2020-02-25 21:20:38.934000-06:00,2020-02-25 21:00
1582687238984.0,0.004679858684539795,-0.002082452178001404,0.001573493704199791,2020-02-25 21:20:38.984000-06:00,2020-02-25 21:00
1582687239034.0,0.0033356323838233948,-0.002656027674674988,0.0009435229003429413,2020-02-25 21:20:39.034000-06:00,2020-02-25 21:00
1582687239084.0,0.00017505884170532227,0.0008173584938049316,0.00021927431225776672,2020-02-25 21:20:39.084000-06:00,2020-02-25 21:00
1582687239134.0,0.003851950168609619,-0.0025818347930908203,-0.004833877086639404,2020-02-25 21:20:39.134000-06:00,2020-02-25 21:00
1582687239184.0,0.006403565406799316,-0.012674987316131592,-0.004396378993988037,2020-02-25 21:20:39.184000-06:00,2020-02-25 21:00
1582687239234.0,0.007577419281005859,-0.01562095433473587,0.0015689507126808167,2020-02-25 21:20:39.234000-06:00,2020-02-25 21:00
1582687239284.0,0.0055141448974609375,-0.01635101973079145,0.0012748688459396362,2020-02-25 21:20:39.284000-06:00,2020-02-25 21:00
1582687239334.0,-9.368360042572021e-05,-0.01669401302933693,-0.001601487398147583,2020-02-25 21:20:39.334000-06:00,2020-02-25 21:00
1582687239384.0,-0.0024884045124053955,-0.016427285969257355,-0.0017807185649871826,2020-02-25 21:20:39.384000-06:00,2020-02-25 21:00
1582687239434.0,-0.0005146265029907227,-0.014332085847854614,0.0012575536966323853,2020-02-25 21:20:39.434000-06:00,2020-02-25 21:00
1582687239484.0,0.0037332922220230103,-0.012179426848888397,0.0005376935005187988,2020-02-25 21:20:39.484000-06:00,2020-02-25 21:00
1582687239534.0,0.00308777391910553,-0.007821500301361084,-0.0024153441190719604,2020-02-25 21:20:39.534000-06:00,2020-02-25 21:00
1582687239584.0,0.002329111099243164,-0.0070240795612335205,-0.0023657605051994324,2020-02-25 21:20:39.584000-06:00,2020-02-25 21:00
1582687239634.0,0.00332602858543396,-0.013434022665023804,-0.003111034631729126,2020-02-25 21:20:39.634000-06:00,2020-02-25 21:00
1582687239684.0,0.00451873242855072,-0.014229744672775269,-0.0022810697555541992,2020-02-25 21:20:39.684000-06:00,2020-02-25 21:00
